,filename,folder,octTags0,octTags1,octTags2,octTags3,octTags4,all_label,fundus_image_qualified,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_macular-position,fi_unqualified_focus-clearness,fi_unqualified_readable-range,fi_unqualified_others,path,exists
2353,86183870-20190710-L_1.2.276.0.75.2.1.20.0.3.190710093344093.1076358.31469_157.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86183870-20190710-L_1.2.276.0.75.2.1.20.0.3.190710093344093.1076358.31469_157.png,TRUE
2027,86180384-20190816-R_1.2.276.0.75.2.1.20.0.3.190816093122109.1076358.3576_125.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86180384-20190816-R_1.2.276.0.75.2.1.20.0.3.190816093122109.1076358.3576_125.png,TRUE
1544,14004210-20170721-R_170721102749015_098.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14004210-20170721-R_170721102749015_098.png,TRUE
130,16171027-20170122-L_170122144441187_038.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/16171027-20170122-L_170122144441187_038.png,TRUE
430,16111001-20170802-R_170802101240453_192.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/16111001-20170802-R_170802101240453_192.png,TRUE
2232,13011043-20191206-L_191206100238703.1076358.119_014.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_disc-positionfi_unqualified_othersnannan,0,1,1,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13011043-20191206-L_191206100238703.1076358.119_014.png,TRUE
2956,18010001-20160126-R_160126100346015_080.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,,,,fundus_image_unqualifiedfi_unqualified_readable-rangenannannan,0,1,0,0,0,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/18010001-20160126-R_160126100346015_080.png,TRUE
1424,18060055-20180809-R_180809105446312_163.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/18060055-20180809-R_180809105446312_163.png,TRUE
2291,17011139-20191203-R_1.2.276.0.75.2.1.20.0.3.191203103209105.1215738.29429_057.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/17011139-20191203-R_1.2.276.0.75.2.1.20.0.3.191203103209105.1215738.29429_057.png,TRUE
2415,1301188-20161124-L_161124094100015._066.jpg,xux,fundus_image_unqualified,fi_unqualified_others,,,,fundus_image_unqualifiedfi_unqualified_othersnannannan,0,1,0,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301188-20161124-L_161124094100015._066.png,TRUE
1758,1301154-20180611-L_180611093218359_140.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301154-20180611-L_180611093218359_140.png,TRUE
1353,13011025-20170516-R_170516102139687_060.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13011025-20170516-R_170516102139687_060.png,TRUE
616,1301203-20160830-R_160830104208890._035.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301203-20160830-R_160830104208890._035.png,TRUE
520,86179904-20191218-R_191218093534661.1215738.12312_199.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,,,,fundus_image_unqualifiedfi_unqualified_disc-positionnannannan,0,1,1,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86179904-20191218-R_191218093534661.1215738.12312_199.png,TRUE
1326,17011016-20180314-L_180314142054375_047.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_othersnannan,0,1,0,1,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/17011016-20180314-L_180314142054375_047.png,TRUE
67,1301050-20191205-R_1.2.276.0.75.2.1.20.0.3.191205103229562.1076358.18937_006.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_focus-clearness,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_focus-clearnessnannan,0,1,0,1,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301050-20191205-R_1.2.276.0.75.2.1.20.0.3.191205103229562.1076358.18937_006.png,TRUE
